t	Voltage
208	-1.900752
208	-1.899885
208	-1.899104
208	-1.898338
208	-1.89772
208	-1.897092
208	-1.896563
208	-1.895992
208	-1.895613
208	-1.895238
208	-1.894943
208	-1.894702
208	-1.894456
208	-1.894301
208	-1.894074
208	-1.89385
208	-1.8937
208	-1.893624
208	-1.893801
208	-1.894242
208	-1.894878
208	-1.895666
208	-1.896518
208	-1.897302
208	-1.897971
208	-1.898545
208	-1.899012
208	-1.899352
208	-1.899622
208	-1.899824
208	-1.899918
208	-1.899981
208	-1.900015
208	-1.899985
208	-1.899915
208	-1.89988
208	-1.8999
208	-1.900014
208	-1.900276
208	-1.900628
208	-1.901043
208	-1.901394
208	-1.901587
208	-1.901646
208	-1.901599
208	-1.901415
208	-1.90118
208	-1.900906
208	-1.900613
208	-1.900328
208	-1.900087
208	-1.899875
208	-1.899714
208	-1.899576
208	-1.899414
208	-1.899237
208	-1.898908
208	-1.898515
208	-1.898012
208	-1.897516
208	-1.897027
208	-1.896576
208	-1.896202
208	-1.895925
208	-1.89576
208	-1.895696
208	-1.895728
208	-1.895848
208	-1.896038
208	-1.896273
208	-1.896552
208	-1.89686
208	-1.897221
208	-1.897613
208	-1.898089
208	-1.898643
208	-1.899217
208	-1.89977
208	-1.900262
208	-1.900671
208	-1.901
208	-1.901249
208	-1.901461
208	-1.901644
208	-1.90182
208	-1.901999
208	-1.902194
208	-1.902384
208	-1.902597
208	-1.90278
208	-1.902971
208	-1.903105
208	-1.90315
208	-1.903047
208	-1.902783
208	-1.902354
208	-1.901801
208	-1.901188
208	-1.900502
208	-1.899805
208	-1.899124
208	-1.898465
208	-1.897808
208	-1.897204
208	-1.896614
208	-1.896075
208	-1.895561
208	-1.895074
208	-1.894643
208	-1.894246
208	-1.893911
208	-1.89363
208	-1.8934
208	-1.893287
208	-1.893273
208	-1.893432
208	-1.893767
208	-1.894284
208	-1.895003
208	-1.895815
208	-1.896675
208	-1.897432
208	-1.898108
208	-1.898655
208	-1.899055
208	-1.89932
208	-1.899489
208	-1.899533
208	-1.899537
208	-1.899447
208	-1.899323
208	-1.899201
208	-1.899116
208	-1.899055
208	-1.899146
208	-1.899344
208	-1.89967
208	-1.900104
208	-1.900561
208	-1.900966
208	-1.90124
208	-1.901374
208	-1.901388
208	-1.901324
208	-1.901205
208	-1.901108
208	-1.901031
208	-1.90101
208	-1.901025
208	-1.901079
208	-1.901154
208	-1.901202
208	-1.901206
208	-1.901121
208	-1.900924
208	-1.900555
208	-1.900057
208	-1.899489
208	-1.898911
208	-1.898383
208	-1.89789
208	-1.897496
208	-1.897171
208	-1.8969
208	-1.896669
208	-1.896467
208	-1.896271
208	-1.896089
208	-1.895883
208	-1.89572
208	-1.895566
208	-1.89546
208	-1.895473
208	-1.895623
208	-1.89594
208	-1.896437
208	-1.897052
208	-1.897746
208	-1.898437
208	-1.899074
208	-1.899638
208	-1.900156
208	-1.900569
208	-1.900946
208	-1.901267
208	-1.901505
208	-1.901694
208	-1.901845
208	-1.901946
208	-1.902023
208	-1.902124
208	-1.902234
208	-1.902399
