t	Voltage
145	9.537955
145	9.397904
145	9.177256
145	8.903006
145	8.62147
145	8.32514
145	8.021451
145	7.714745
145	7.442988
145	7.170059
145	6.903605
145	6.670068
145	6.4403
145	6.238585
145	6.023698
145	5.79305
145	5.588903
145	5.413497
145	5.316114
145	5.318668
145	5.431069
145	5.641015
145	5.932414
145	6.27462
145	6.638715
145	7.011985
145	7.359025
145	7.662449
145	7.938591
145	8.191696
145	8.393657
145	8.556574
145	8.685066
145	8.776413
145	8.841934
145	8.885172
145	8.93142
145	8.999817
145	9.105164
145	9.253113
145	9.426055
145	9.595959
145	9.739348
145	9.84499
145	9.891428
145	9.888521
145	9.844844
145	9.770942
145	9.673228
145	9.56554
145	9.457543
145	9.355762
145	9.259285
145	9.177983
145	9.09592
145	8.999188
145	8.87409
145	8.707098
145	8.503546
145	8.2752
145	8.031862
145	7.77396
145	7.541853
145	7.330525
145	7.148345
145	7.001903
145	6.889798
145	6.829812
145	6.811229
145	6.832979
145	6.88896
145	6.976235
145	7.09464
145	7.248269
145	7.444292
145	7.695063
145	7.965639
145	8.254637
145	8.542379
145	8.814694
145	9.071942
145	9.286491
145	9.473644
145	9.639059
145	9.795998
145	9.92925
145	10.05725
145	10.1816
145	10.30313
145	10.4234
145	10.53326
145	10.62341
145	10.68636
145	10.70451
145	10.65927
145	10.5486
145	10.37638
145	10.15518
145	9.889971
145	9.60304
145	9.30312
145	8.994571
145	8.677861
145	8.355008
145	8.031338
145	7.710103
145	7.389317
145	7.070012
145	6.744703
145	6.433501
145	6.128542
145	5.833818
145	5.535253
145	5.286197
145	5.089543
145	4.970335
145	4.929966
145	4.976902
145	5.129559
145	5.376745
145	5.703588
145	6.097554
145	6.481811
145	6.852588
145	7.190244
145	7.489269
145	7.758686
145	7.96078
145	8.11663
145	8.22653
145	8.298073
145	8.344302
145	8.372316
145	8.399867
145	8.445221
145	8.530645
145	8.656013
145	8.826035
145	9.02731
145	9.231426
145	9.418675
145	9.55488
145	9.64383
145	9.690835
145	9.70959
145	9.709171
145	9.702545
145	9.69923
145	9.706706
145	9.725582
145	9.753177
145	9.78192
145	9.800724
145	9.793814
145	9.742295
145	9.636449
145	9.474705
145	9.267219
145	9.018348
145	8.775944
145	8.532193
145	8.297485
145	8.079429
145	7.868421
145	7.688993
145	7.520866
145	7.35869
145	7.202279
145	7.04096
145	6.890304
145	6.746859
145	6.619698
145	6.523187
145	6.475235
145	6.498023
145	6.601685
145	6.78488
145	7.04378
145	7.332871
145	7.647467
145	7.971133
145	8.288135
145	8.604964
145	8.88351
145	9.135344
145	9.357621
145	9.56254
145	9.71905
145	9.847987
145	9.953064
145	10.04252
145	10.13334
145	10.22696
145	10.32784
145	10.43391
145	10.52878
145	10.57851
145	10.57029
145	10.49565
145	10.35699
145	10.15381
145	9.9189
145	9.647799
145	9.354358
145	9.047991
145	8.72712
145	8.411838
145	8.110202
145	7.80828
145	7.496094
145	7.202535
