Field	X	Y
0	-4.81497e-07	8.84761e-08
-5	-4.46105e-07	6.89183e-08
-10	-4.69388e-07	1.67639e-08
-15	-4.95467e-07	6.33304e-08
-20	-4.06058e-07	4.8429e-08
-25	-4.21891e-07	1.0524e-07
-30	-4.55419e-07	8.66135e-08
-35	-4.75908e-07	9.31328e-09
-40	-5.886e-07	0.0
-45	-6.71487e-07	0.0
-50	-7.11534e-07	3.63218e-08
-55	-3.14789e-07	6.51929e-09
-60	2.58909e-07	0.0
-65	1.49944e-07	0.0
-70	1.53669e-07	0.0
-75	2.26312e-07	2.70085e-08
-80	2.25381e-07	3.91158e-08
-85	2.03961e-07	4.65664e-09
-90	6.5193e-08	1.39699e-08
-95	1.86266e-08	5.21543e-08
-100	-5.58796e-09	6.51929e-09
-105	-9.3133e-10	0.0
-110	0.0	1.86266e-09
-115	-1.1921e-07	5.1223e-08
-120	-1.30386e-07	1.02446e-07
-125	-1.55532e-07	3.53905e-08
-130	-1.38768e-07	2.79398e-09
-135	-1.36905e-07	4.65664e-09
-140	-2.07686e-07	5.40169e-08
