Field	X	Y
0	-3.2969e-07	1.95579e-08
-5	-1.94647e-07	-6.51929e-09
-10	-1.3318e-07	7.54376e-08
-15	-1.24798e-07	2.04892e-08
-20	-1.25729e-07	1.03377e-07
-25	-1.27592e-07	1.22004e-07
-30	-1.45287e-07	3.91158e-08
-35	-1.81609e-07	3.72531e-08
-40	-1.43425e-07	8.38196e-09
-45	-2.72879e-07	9.3133e-10
-50	-3.05476e-07	0.0
-55	2.319e-07	0.0
-60	9.02455e-07	4.74977e-08
-65	6.99427e-07	3.91158e-08
-70	2.5239e-07	3.72532e-09
-75	3.25965e-08	0.0
-80	-1.46219e-07	1.76952e-08
-85	-2.39352e-07	9.03387e-08
-90	-3.38072e-07	8.75448e-08
-95	-3.25033e-07	1.11759e-08
-100	-2.79399e-07	-1.02446e-08
-105	-2.55184e-07	-9.3133e-10
-110	-2.6636e-07	5.96051e-08
-115	-2.51459e-07	7.63689e-08
-120	-2.65429e-07	6.33304e-08
-125	-2.61703e-07	6.51929e-09
-130	-2.74742e-07	0.0
-135	-2.39352e-07	9.59267e-08
-140	-1.57394e-07	1.22004e-07
