t	Voltage
309	7.925213
309	8.877859
309	9.691498
309	10.41903
309	11.06946
309	11.65758
309	12.14348
309	12.56643
309	12.92264
309	13.20712
309	13.42629
309	13.57803
309	13.65703
309	13.67181
309	13.60983
309	13.48899
309	13.30748
309	13.06696
309	12.76844
309	12.41283
309	12.01208
309	11.57142
309	11.0879
309	10.55931
309	10.02948
309	9.475733
309	8.908264
309	8.337785
309	7.760752
309	7.203158
309	6.658036
309	6.138678
309	5.630034
309	5.1847
309	4.777086
309	4.419601
309	4.12131
309	3.878332
309	3.731045
309	3.669188
309	3.700439
309	3.829189
309	4.055915
309	4.374965
309	4.780846
309	5.263931
309	5.840114
309	6.448066
309	7.109329
309	7.798706
309	8.500916
309	9.219702
309	9.879135
309	10.50296
309	11.08433
309	11.61516
309	12.09374
309	12.50565
309	12.8549
309	13.14054
309	13.36559
309	13.51066
309	13.58747
309	13.59931
309	13.5484
309	13.4265
309	13.24185
309	12.99553
309	12.69439
309	12.32229
309	11.92145
309	11.48
309	10.99905
309	10.48787
309	9.937198
309	9.393191
309	8.831641
309	8.263707
309	7.693668
309	7.118005
309	6.584616
309	6.068583
309	5.579761
309	5.128391
309	4.706594
309	4.343629
309	4.04747
309	3.819893
309	3.669234
309	3.605372
309	3.636486
309	3.766307
309	3.993192
309	4.316018
309	4.723116
309	5.202907
309	5.757408
309	6.394908
309	7.05002
309	7.734588
309	8.436969
309	9.128504
309	9.816118
309	10.43231
309	11.01377
309	11.54318
309	12.01341
309	12.43061
309	12.7796
309	13.06258
309	13.28528
309	13.44058
309	13.52621
309	13.54135
309	13.48896
309	13.3708
309	13.19089
309	12.94833
309	12.64914
309	12.29708
309	11.88223
309	11.44254
309	10.96183
309	10.44976
309	9.914054
309	9.354289
309	8.789499
309	8.2239
309	7.655374
309	7.078421
309	6.542816
309	6.0272
309	5.537303
309	5.085704
309	4.664444
309	4.309583
309	4.013704
309	3.787012
309	3.625957
309	3.566736
309	3.598242
309	3.728586
309	3.956014
309	4.279027
309	4.686574
309	5.167546
309	5.721563
309	6.35778
309	7.013469
309	7.699669
309	8.400879
309	9.090487
309	9.779954
309	10.39426
309	10.97377
309	11.50466
309	11.97811
309	12.40631
309	12.75292
309	13.04534
309	13.27018
309	13.42525
309	13.51143
309	13.52841
309	13.47597
309	13.35843
309	13.17414
309	12.93457
309	12.63203
309	12.27568
309	11.87659
309	11.4199
309	10.94343
309	10.43291
309	9.89697
309	9.342492
309	8.758913
309	8.198963
309	7.633334
309	7.074279
309	6.529813
309	6.000477
309	5.513421
309	5.062983
309	4.653695
309	4.279233
309	3.982595
309	3.75762
309	3.607689
309	3.548084
309	3.572845
309	3.702303
309	3.929754
309	4.249497
309	4.662619
309	5.149065
309	5.701875
309	6.315796
309	7.004215
309	7.68232
309	8.382955
309	9.0719
309	9.738492
309	10.39044
309	10.96344
309	11.49043
309	11.96485
309	12.38175
309	12.741
309	13.02479
309	13.23083
309	13.38423
309	13.47213
309	13.48851
309	13.43953
309	13.32627
309	13.14788
309	12.90459
309	12.60264
309	12.24935
309	11.85098
309	11.39641
309	10.92116
309	10.41035
309	9.874863
309	9.320608
309	8.73853
309	8.180172
309	7.615041
309	7.055928
309	6.510931
309	5.973166
309	5.488818
309	5.039728
309	4.631494
309	4.273528
309	3.962357
309	3.734493
309	3.585022
309	3.524393
309	3.552739
309	3.682369
309	3.909665
309	4.230426
309	4.636959
309	5.136959
309	5.685552
309	6.295512
309	6.95892
309	7.647263
309	8.375435
309	9.055723
309	9.718605
309	10.34542
309	10.9282
309	11.4576
309	11.93552
309	12.34874
309	12.70175
309	12.99
309	13.21745
309	13.366
309	13.44949
309	13.46677
309	13.41925
309	13.30801
309	13.12986
309	12.89037
309	12.58859
309	12.22264
309	11.8281
309	11.38675
309	10.90472
309	10.39137
309	9.840769
309	9.295749
309	8.733193
309	8.165933
309	7.598329
309	7.022219
309	6.486669
309	5.969822
309	5.480717
309	5.031075
309	4.620883
309	4.26317
309	3.964395
309	3.736367
309	3.586754
309	3.518441
309	3.549591
309	3.678759
309	3.904855
309	4.2236
309	4.632929
309	5.113905
309	5.666535
309	6.279939
309	6.959958
309	7.655475
309	8.35484
309	9.040949
309	9.729032
309	10.34377
309	10.92403
309	11.45372
309	11.92662
309	12.34686
309	12.70083
309	12.98781
309	13.21239
309	13.37696
309	13.46149
309	13.47182
309	13.40714
309	13.29015
309	13.10541
309	12.86401
309	12.56406
309	12.21175
309	11.81342
309	11.36015
309	10.88717
309	10.3759
309	9.841158
309	9.289564
309	8.709123
309	8.149752
309	7.580862
309	7.025039
309	6.482007
309	5.943427
309	5.461148
309	5.012911
309	4.604964
309	4.245898
309	3.936112
309	3.710902
309	3.5621
309	3.502161
309	3.531512
309	3.660667
309	3.886831
309	4.205691
309	4.61069
309	5.101305
309	5.652814
309	6.267074
309	6.93201
309	7.645203
309	8.336613
309	9.022251
309	9.68874
309	10.31909
309	10.92299
309	11.44292
309	11.91566
309	12.3256
309	12.66889
309	12.95963
309	13.17498
309	13.33123
309	13.41766
309	13.437
309	13.38877
309	13.27522
309	13.09605
309	12.85572
309	12.55665
309	12.20372
309	11.80105
309	11.35965
309	10.87992
309	10.36695
309	9.814442
309	9.271898
309	8.71067
309	8.143237
309	7.575482
309	7.009322
309	6.468252
309	5.950325
309	5.460745
309	4.991897
309	4.587728
309	4.233942
309	3.93577
309	3.708652
309	3.549116
309	3.484849
309	3.517176
309	3.647752
309	3.874636
309	4.195272
309	4.59979
309	5.081423
309	5.655943
309	6.263205
309	6.924284
309	7.612234
309	8.313899
309	9.021078
309	9.695284
309	10.32026
309	10.90174
309	11.44841
309	11.91303
309	12.31966
309	12.67221
309	12.96221
309	13.19066
309	13.32708
309	13.41185
309	13.43126
309	13.38388
309	13.27042
309	13.09282
309	12.85376
309	12.55613
309	12.19609
309	11.80382
309	11.35919
309	10.8764
309	10.36475
309	9.811792
309	9.268979
309	8.707648
309	8.141277
309	7.574135
309	7.007255
309	6.459512
309	5.942258
309	5.45223
309	4.981899
309	4.577116
309	4.222483
309	3.924961
309	3.697584
309	3.537803
309	3.47703
309	3.509443
309	3.639429
309	3.872223
309	4.18883
309	4.593771
309	5.074883
309	5.629216
309	6.267488
309	6.924031
309	7.610228
309	8.310688
309	9.001986
309	9.68165
309	10.31326
309	10.89314
309	11.42273
309	11.91053
309	12.31708
309	12.66688
309	12.95548
309	13.17898
309	13.34118
309	13.42423
309	13.44114
309	13.39147
309	13.2735
309	13.0961
309	12.85442
309	12.55452
309	12.20264
309	11.80175
309	11.34457
309	10.87023
309	10.36035
309	9.825127
309	9.271124
309	8.688781
309	8.130349
309	7.565301
309	7.007892
309	6.461589
309	5.940268
309	5.444255
309	4.991556
309	4.582129
309	4.224262
309	3.908311
309	3.684451
309	3.537807
309	3.477812
309	3.509379
309	3.635778
309	3.862128
309	4.180318
309	4.585416
309	5.084682
309	5.631988
309	6.243453
309	6.904768
309	7.594176
309	8.321181
