t	Voltage
160	1.88652
160	1.891471
160	1.896101
160	1.90043
160	1.904422
160	1.908046
160	1.91128
160	1.914099
160	1.916479
160	1.918395
160	1.919846
160	1.920812
160	1.921286
160	1.921268
160	1.920758
160	1.919759
160	1.918277
160	1.916327
160	1.913925
160	1.911085
160	1.907837
160	1.904205
160	1.900215
160	1.895894
160	1.891285
160	1.886409
160	1.881294
160	1.876011
160	1.870595
160	1.86508
160	1.859573
160	1.854142
160	1.848882
160	1.844016
160	1.839643
160	1.836073
160	1.833523
160	1.832193
160	1.832225
160	1.833622
160	1.836241
160	1.839875
160	1.844308
160	1.84923
160	1.854537
160	1.860014
160	1.865556
160	1.871102
160	1.876541
160	1.881848
160	1.886969
160	1.891847
160	1.896456
160	1.900763
160	1.904743
160	1.908352
160	1.911571
160	1.914379
160	1.916749
160	1.918656
160	1.920101
160	1.921064
160	1.92153
160	1.921505
160	1.92099
160	1.919988
160	1.918498
160	1.916548
160	1.914142
160	1.911298
160	1.908047
160	1.904412
160	1.900416
160	1.896093
160	1.891482
160	1.886604
160	1.881491
160	1.876201
160	1.870782
160	1.865265
160	1.859758
160	1.854323
160	1.849063
160	1.844193
160	1.839821
160	1.836243
160	1.83369
160	1.832354
160	1.832387
160	1.833783
160	1.836395
160	1.840026
160	1.844455
160	1.849374
160	1.854674
160	1.860148
160	1.865683
160	1.871228
160	1.876667
160	1.881966
160	1.887081
160	1.891963
160	1.896569
160	1.900872
160	1.904851
160	1.90846
160	1.911683
160	1.91449
160	1.916856
160	1.918767
160	1.920211
160	1.921169
160	1.92163
160	1.921608
160	1.921093
160	1.92009
160	1.918598
160	1.916643
160	1.914241
160	1.911396
160	1.908146
160	1.904508
160	1.900509
160	1.896186
160	1.891572
160	1.886696
160	1.881581
160	1.87629
160	1.870872
160	1.865354
160	1.85985
160	1.854412
160	1.849152
160	1.844282
160	1.839905
160	1.836332
160	1.833779
160	1.832446
160	1.832472
160	1.833873
160	1.836484
160	1.840114
160	1.844544
160	1.849462
160	1.854758
160	1.860233
160	1.865774
160	1.871313
160	1.876749
160	1.882043
160	1.887166
160	1.892038
160	1.896642
160	1.90095
160	1.904924
160	1.908532
160	1.911749
160	1.914556
160	1.916921
160	1.91883
160	1.920273
160	1.921227
160	1.921695
160	1.921663
160	1.921149
160	1.920148
160	1.918658
160	1.916704
160	1.914295
160	1.911452
160	1.908199
160	1.904566
160	1.900568
160	1.896246
160	1.891632
160	1.886753
160	1.881638
160	1.876349
160	1.870931
160	1.865412
160	1.859905
160	1.85447
160	1.849213
160	1.844344
160	1.839962
160	1.836395
160	1.833841
160	1.832504
160	1.832533
160	1.833927
160	1.836535
160	1.840165
160	1.844592
160	1.849508
160	1.854807
160	1.860275
160	1.865813
160	1.871353
160	1.876788
160	1.882085
160	1.887202
160	1.892075
160	1.896676
160	1.900981
160	1.904953
160	1.908565
160	1.911782
160	1.914587
160	1.916951
160	1.918859
160	1.920301
160	1.921255
160	1.92172
160	1.921694
160	1.921175
160	1.920169
160	1.91868
160	1.916723
160	1.914316
160	1.911473
160	1.908218
160	1.904585
160	1.900583
160	1.89626
160	1.891645
160	1.886768
160	1.881655
160	1.876363
160	1.870945
160	1.865425
160	1.859916
160	1.854482
160	1.849222
160	1.844353
160	1.839974
160	1.836405
160	1.833848
160	1.832515
160	1.832543
160	1.833939
160	1.83655
160	1.840178
160	1.844606
160	1.849519
160	1.854816
160	1.860289
160	1.865823
160	1.871364
160	1.876795
160	1.882097
160	1.887214
160	1.892084
160	1.896692
160	1.900999
160	1.904973
160	1.908577
160	1.911799
160	1.9146
160	1.916972
160	1.918879
160	1.920322
160	1.921278
160	1.921742
160	1.921712
160	1.921197
160	1.920195
160	1.918706
160	1.916751
160	1.914344
160	1.911498
160	1.908249
160	1.904612
160	1.900618
160	1.896287
160	1.891678
160	1.886805
160	1.881688
160	1.876396
160	1.870976
160	1.865459
160	1.859955
160	1.854516
160	1.849259
160	1.844388
160	1.840012
160	1.836441
160	1.833888
160	1.832552
160	1.832581
160	1.833979
160	1.836588
160	1.840211
160	1.844641
160	1.849558
160	1.854856
160	1.860326
160	1.865864
160	1.871403
160	1.876834
160	1.882134
160	1.887247
160	1.892124
160	1.896726
160	1.901028
160	1.905005
160	1.908613
160	1.911833
160	1.914639
160	1.916996
160	1.918907
160	1.920346
160	1.921305
160	1.92177
160	1.921741
160	1.921224
160	1.920222
160	1.91873
160	1.916775
160	1.914368
160	1.911523
160	1.908272
160	1.904636
160	1.900639
160	1.896316
160	1.8917
160	1.886821
160	1.881711
160	1.876423
160	1.871005
160	1.865487
160	1.859978
160	1.854548
160	1.849289
160	1.844418
160	1.840043
160	1.836472
160	1.833921
160	1.832583
160	1.832614
160	1.834009
160	1.836619
160	1.840247
160	1.844675
160	1.849585
160	1.85489
160	1.860355
160	1.865893
160	1.871433
160	1.876866
160	1.882164
