"Current","Field","Frequency","Spectra"
2.8707,43.06,1,-1.450497993435146
2.8707,43.06,1.003125,-1.4112116309682792
2.8707,43.06,1.00625,-1.374170432628902
2.8707,43.06,1.0093750000000001,-1.3514040040286748
2.8707,43.06,1.0125,-1.3386552010849213
2.8707,43.06,1.015625,-1.3433290113994776
2.8707,43.06,1.01875,-1.3565491719460767
2.8707,43.06,1.021875,-1.3792007938868587
2.8707,43.06,1.0250000000000001,-1.415893940769875
2.8707,43.06,1.028125,-1.4680481162268544
2.8707,43.06,1.03125,-1.5241240946593462
2.8707,43.06,1.034375,-1.5914340096074282
2.8707,43.06,1.0375,-1.6605307104384401
2.8707,43.06,1.0406250000000001,-1.7329558530626623
2.8707,43.06,1.04375,-1.8012709192448526
2.8707,43.06,1.046875,-1.8668423573174808
2.8707,43.06,1.05,-1.9327551131104979
2.8707,43.06,1.053125,-1.9862720089486037
2.8707,43.06,1.0562500000000001,-2.0320563581696627
2.8707,43.06,1.059375,-2.0696834671311928
2.8707,43.06,1.0625,-2.0946269832802242
2.8707,43.06,1.065625,-2.107750997879544
2.8707,43.06,1.06875,-2.113764754715975
2.8707,43.06,1.0718750000000001,-2.1067881349026383
2.8707,43.06,1.0750000000000002,-2.0908989743487165
2.8707,43.06,1.078125,-2.0611837182105592
2.8707,43.06,1.08125,-2.025263692081019
2.8707,43.06,1.084375,-1.9757728440129974
2.8707,43.06,1.0875000000000001,-1.9211878079535332
2.8707,43.06,1.0906250000000002,-1.8616008573503309
2.8707,43.06,1.09375,-1.8092021764306683
2.8707,43.06,1.096875,-1.7441430660737114
2.8707,43.06,1.1,-1.6924905670791013
2.8707,43.06,1.1031250000000001,-1.646788013283349
2.8707,43.06,1.1062500000000002,-1.599381089282932
2.8707,43.06,1.109375,-1.5651608050724786
2.8707,43.06,1.1125,-1.5461381349363577
2.8707,43.06,1.115625,-1.5392571319801802
2.8707,43.06,1.1187500000000001,-1.5469082438799298
2.8707,43.06,1.1218750000000002,-1.563685097170536
2.8707,43.06,1.125,-1.589474364828545
2.8707,43.06,1.128125,-1.6219421235880773
2.8707,43.06,1.13125,-1.6614788149548616
2.8707,43.06,1.1343750000000001,-1.70302229363528
2.8707,43.06,1.1375000000000002,-1.7461151351712603
2.8707,43.06,1.140625,-1.7797470027774587
2.8707,43.06,1.14375,-1.8087135241419239
2.8707,43.06,1.146875,-1.830248516747108
2.8707,43.06,1.1500000000000001,-1.8461073439525313
2.8707,43.06,1.1531250000000002,-1.8503552608889893
2.8707,43.06,1.15625,-1.8453832578401785
2.8707,43.06,1.159375,-1.8330646235746397
2.8707,43.06,1.1625,-1.8113316689955392
2.8707,43.06,1.1656250000000001,-1.782197475190862
2.8707,43.06,1.1687500000000002,-1.750461713643122
2.8707,43.06,1.171875,-1.7150699278725534
2.8707,43.06,1.175,-1.6745077686289163
2.8707,43.06,1.178125,-1.633913765131692
2.8707,43.06,1.1812500000000001,-1.5926298584347134
2.8707,43.06,1.1843750000000002,-1.5533024522363295
2.8707,43.06,1.1875,-1.519573195396979
2.8707,43.06,1.190625,-1.4870692872913938
2.8707,43.06,1.19375,-1.4715908175555024
2.8707,43.06,1.1968750000000001,-1.4572004046122444
2.8707,43.06,1.2000000000000002,-1.4534286723339633
2.8707,43.06,1.203125,-1.4638318132103387
2.8707,43.06,1.20625,-1.4854330621329568
2.8707,43.06,1.209375,-1.5207098406780641
2.8707,43.06,1.2125000000000001,-1.5682712018808964
2.8707,43.06,1.2156250000000002,-1.6269354335358979
2.8707,43.06,1.21875,-1.6864313246912657
2.8707,43.06,1.221875,-1.7568560572267724
2.8707,43.06,1.225,-1.8336961234676108
2.8707,43.06,1.2281250000000001,-1.9096425850519387
2.8707,43.06,1.2312500000000002,-1.9811149813223237
2.8707,43.06,1.234375,-2.044087897259287
2.8707,43.06,1.2375,-2.098642566345017
2.8707,43.06,1.240625,-2.140602638137871
2.8707,43.06,1.2437500000000001,-2.1808975838669684
2.8707,43.06,1.2468750000000002,-2.2092806055412275
2.8707,43.06,1.25,-2.2176018514321987
2.8707,43.06,1.253125,-2.2110909515233033
2.8707,43.06,1.25625,-2.183715378393907
2.8707,43.06,1.2593750000000001,-2.1476988357239177
2.8707,43.06,1.2625000000000002,-2.1144803694522003
2.8707,43.06,1.265625,-2.072015508451798
2.8707,43.06,1.26875,-2.019845603769771
2.8707,43.06,1.271875,-1.9603311546766977
2.8707,43.06,1.2750000000000001,-1.8984384684808764
2.8707,43.06,1.2781250000000002,-1.834157410631193
2.8707,43.06,1.28125,-1.783830054052947
2.8707,43.06,1.284375,-1.7432278187963788
2.8707,43.06,1.2875,-1.7072433703930192
2.8707,43.06,1.2906250000000001,-1.679128720819846
2.8707,43.06,1.2937500000000002,-1.6628232351185699
2.8707,43.06,1.296875,-1.6596905242219888
2.8707,43.06,1.3,-1.6689083091927541
2.8707,43.06,1.303125,-1.6942732525081128
2.8707,43.06,1.3062500000000001,-1.7303161482566765
2.8707,43.06,1.3093750000000002,-1.7706116344283833
2.8707,43.06,1.3125,-1.8242036715435817
2.8707,43.06,1.315625,-1.8743400322889543
2.8707,43.06,1.31875,-1.9286174937909009
2.8707,43.06,1.3218750000000001,-1.9780403780272169
2.8707,43.06,1.3250000000000002,-2.0226284639404772
2.8707,43.06,1.328125,-2.0606097175663063
2.8707,43.06,1.33125,-2.085072354043663
2.8707,43.06,1.334375,-2.099055174013487
2.8707,43.06,1.3375000000000001,-2.1021721916922482
2.8707,43.06,1.3406250000000002,-2.099641545150447
2.8707,43.06,1.34375,-2.084269629942698
2.8707,43.06,1.346875,-2.058162939408825
2.8707,43.06,1.35,-2.025715150529321
2.8707,43.06,1.3531250000000001,-1.9855825176859363
2.8707,43.06,1.3562500000000002,-1.93877486036409
2.8707,43.06,1.359375,-1.8917320746347048
2.8707,43.06,1.3625,-1.8346699024114295
2.8707,43.06,1.365625,-1.7801306920895614
2.8707,43.06,1.3687500000000001,-1.7262383562803951
2.8707,43.06,1.3718750000000002,-1.6766727044093082
2.8707,43.06,1.375,-1.63432758586963
2.8707,43.06,1.378125,-1.5992172587442302
2.8707,43.06,1.38125,-1.572435655046548
2.8707,43.06,1.3843750000000001,-1.5551611971231294
2.8707,43.06,1.3875000000000002,-1.5516057708797382
2.8707,43.06,1.390625,-1.5642402084534206
2.8707,43.06,1.39375,-1.5947939186756606
2.8707,43.06,1.396875,-1.6382568385916993
2.8707,43.06,1.4000000000000001,-1.697276785940053
2.8707,43.06,1.4031250000000002,-1.7562845329993901
2.8707,43.06,1.40625,-1.8256344832780989
2.8707,43.06,1.409375,-1.903337940301778
2.8707,43.06,1.4125,-1.979212153552815
2.8707,43.06,1.4156250000000001,-2.0570146985298514
2.8707,43.06,1.4187500000000002,-2.1272236335381596
2.8707,43.06,1.421875,-2.187069827230621
2.8707,43.06,1.425,-2.2350069038356315
2.8707,43.06,1.428125,-2.269758828016894
2.8707,43.06,1.4312500000000001,-2.2953486220844637
2.8707,43.06,1.4343750000000002,-2.3061780423634346
2.8707,43.06,1.4375,-2.3053934158268343
2.8707,43.06,1.440625,-2.292605656534041
2.8707,43.06,1.44375,-2.2714906149348018
2.8707,43.06,1.4468750000000001,-2.2384602527878297
2.8707,43.06,1.4500000000000002,-2.199125020030169
2.8707,43.06,1.453125,-2.1580335622726476
2.8707,43.06,1.45625,-2.1121535114450114
2.8707,43.06,1.459375,-2.062997232951815
2.8707,43.06,1.4625000000000001,-2.0184247448365547
2.8707,43.06,1.4656250000000002,-1.9731546873004517
2.8707,43.06,1.46875,-1.9337896239104047
2.8707,43.06,1.471875,-1.9020198189304391
2.8707,43.06,1.475,-1.8763667318792956
2.8707,43.06,1.4781250000000001,-1.862191532850673
2.8707,43.06,1.4812500000000002,-1.8553724119994075
2.8707,43.06,1.484375,-1.8611922805588441
2.8707,43.06,1.4875,-1.877663663795492
2.8707,43.06,1.490625,-1.9035612399302155
2.8707,43.06,1.4937500000000001,-1.9411399664169628
2.8707,43.06,1.4968750000000002,-1.9883115903081485
2.8707,43.06,1.5,-2.0365692664402095
2.8707,43.06,1.503125,-2.0887278336707094
2.8707,43.06,1.50625,-2.1415310091378794
2.8707,43.06,1.5093750000000001,-2.194021196717833
2.8707,43.06,1.5125000000000002,-2.2389653936804703
2.8707,43.06,1.515625,-2.278830410243195
2.8707,43.06,1.51875,-2.3140360831192774
2.8707,43.06,1.521875,-2.332899156117156
2.8707,43.06,1.5250000000000001,-2.3316357028568495
2.8707,43.06,1.5281250000000002,-2.325288869548598
2.8707,43.06,1.53125,-2.3071864456596956
2.8707,43.06,1.534375,-2.2779009558479255
2.8707,43.06,1.5375,-2.241220675462522
2.8707,43.06,1.5406250000000001,-2.1922715264007273
2.8707,43.06,1.5437500000000002,-2.138081103587605
2.8707,43.06,1.546875,-2.077874282378192
2.8707,43.06,1.55,-2.0182681234127404
2.8707,43.06,1.553125,-1.9574900332895293
2.8707,43.06,1.5562500000000001,-1.8999376284768619
2.8707,43.06,1.5593750000000002,-1.8530697111122663
2.8707,43.06,1.5625,-1.807999865434947
2.8707,43.06,1.565625,-1.7788407249168436
2.8707,43.06,1.56875,-1.7581736203694152
2.8707,43.06,1.5718750000000001,-1.7542654881062982
