t	Voltage
35	10.60032
35	10.58796
35	10.5041
35	10.3887
35	10.27391
35	10.15379
35	10.04105
35	9.92091
35	9.830611
35	9.741523
35	9.667354
35	9.602388
35	9.539167
35	9.494343
35	9.443466
35	9.391455
35	9.347548
35	9.317506
35	9.324724
35	9.374756
35	9.469539
35	9.598589
35	9.755437
35	9.90909
35	10.05664
35	10.1883
35	10.30113
35	10.39638
35	10.47189
35	10.52724
35	10.56779
35	10.5961
35	10.61036
35	10.61332
35	10.60876
35	10.6013
35	10.60255
35	10.62103
35	10.65874
35	10.71886
35	10.79092
35	10.86327
35	10.91545
35	10.9439
35	10.94816
35	10.92958
35	10.89167
35	10.84176
35	10.78871
35	10.73442
35	10.68205
35	10.63584
35	10.59545
35	10.55963
35	10.52524
35	10.48319
35	10.42961
35	10.35806
35	10.27019
35	10.17284
35	10.07073
35	9.977076
35	9.893295
35	9.823751
35	9.770313
35	9.734669
35	9.720139
35	9.725451
35	9.747186
35	9.784382
35	9.830053
35	9.884824
35	9.947737
35	10.02196
35	10.11124
35	10.21503
35	10.3287
35	10.44258
35	10.5497
35	10.64879
35	10.72697
35	10.79268
35	10.84699
35	10.89434
35	10.93732
35	10.97807
35	11.01888
35	11.06075
35	11.10395
35	11.14666
35	11.18429
35	11.21135
35	11.22842
35	11.2246
35	11.19115
35	11.1268
35	11.03447
35	10.92116
35	10.79209
35	10.65909
35	10.52221
35	10.38693
35	10.25206
35	10.12247
35	9.999281
35	9.879848
35	9.766366
35	9.657638
35	9.55689
35	9.463338
35	9.378847
35	9.302152
35	9.241852
35	9.198092
35	9.174209
35	9.177932
35	9.214147
35	9.288652
35	9.400153
35	9.541526
35	9.700211
35	9.862496
35	10.01141
35	10.14123
35	10.24739
35	10.33327
35	10.38919
35	10.42355
35	10.43973
35	10.43944
35	10.42813
35	10.41015
35	10.39324
35	10.38481
35	10.39121
35	10.41777
35	10.46885
35	10.54191
35	10.62741
35	10.71118
35	10.77566
35	10.81325
35	10.82795
35	10.82788
35	10.81741
35	10.80363
35	10.79149
35	10.78415
35	10.78419
35	10.79044
35	10.80175
35	10.81361
35	10.81891
35	10.81059
35	10.78069
35	10.72301
35	10.63903
35	10.53847
35	10.42531
35	10.31872
35	10.21725
35	10.12696
35	10.04751
35	9.977135
35	9.919339
35	9.868909
35	9.822347
35	9.777481
35	9.731519
35	9.69055
35	9.653085
35	9.62431
35	9.610623
35	9.61965
35	9.660158
35	9.733706
35	9.837544
35	9.960497
35	10.09613
35	10.22914
35	10.35443
35	10.46843
35	10.57514
35	10.66188
35	10.73781
35	10.80114
35	10.85104
35	10.89244
35	10.92369
35	10.94871
35	10.97156
35	10.99617
35	11.02752
35	11.06554
35	11.10662
35	11.13924
35	11.15229
35	11.13566
35	11.08843
35	11.00964
35	10.90741
35	10.78377
35	10.65509
