t	Voltage
64	-1.861861
64	-1.860235
64	-1.858786
64	-1.857294
64	-1.856084
64	-1.854839
64	-1.853766
64	-1.852615
64	-1.851869
64	-1.851042
64	-1.850423
64	-1.849906
64	-1.84937
64	-1.849077
64	-1.848572
64	-1.848053
64	-1.847708
64	-1.84758
64	-1.847962
64	-1.848882
64	-1.850291
64	-1.852008
64	-1.853723
64	-1.855312
64	-1.856728
64	-1.857848
64	-1.858748
64	-1.859417
64	-1.859966
64	-1.860304
64	-1.860548
64	-1.860675
64	-1.860721
64	-1.860676
64	-1.860548
64	-1.860436
64	-1.860493
64	-1.860743
64	-1.861233
64	-1.861914
64	-1.862678
64	-1.863302
64	-1.863722
64	-1.863845
64	-1.863722
64	-1.863408
64	-1.862978
64	-1.862451
64	-1.861918
64	-1.86139
64	-1.8609
64	-1.86052
64	-1.8602
64	-1.859962
64	-1.859655
64	-1.859262
64	-1.858684
64	-1.857887
64	-1.856921
64	-1.855903
64	-1.854899
64	-1.854009
64	-1.853268
64	-1.852691
64	-1.852304
64	-1.852169
64	-1.85222
64	-1.852472
64	-1.852861
64	-1.85338
64	-1.853941
64	-1.854598
64	-1.855287
64	-1.856084
64	-1.857073
64	-1.858147
64	-1.859274
64	-1.860348
64	-1.861287
64	-1.862051
64	-1.862655
64	-1.863127
64	-1.863528
64	-1.863881
64	-1.864211
64	-1.864562
64	-1.864902
64	-1.865255
64	-1.86566
64	-1.866011
64	-1.866335
64	-1.866586
64	-1.866673
64	-1.866508
64	-1.866043
64	-1.865266
64	-1.864234
64	-1.863079
64	-1.861787
64	-1.860485
64	-1.859155
64	-1.85786
64	-1.856601
64	-1.855378
64	-1.854181
64	-1.853055
64	-1.851975
64	-1.85095
64	-1.850002
64	-1.849155
64	-1.848384
64	-1.847766
64	-1.847262
64	-1.846994
64	-1.846985
64	-1.8473
64	-1.848049
64	-1.849212
64	-1.850748
64	-1.852473
64	-1.854222
64	-1.855826
64	-1.857149
64	-1.858222
64	-1.859013
64	-1.859543
64	-1.859874
64	-1.859991
64	-1.859938
64	-1.859776
64	-1.859569
64	-1.859349
64	-1.859154
64	-1.859083
64	-1.859232
64	-1.85961
64	-1.860248
64	-1.861103
64	-1.861951
64	-1.862742
64	-1.863243
64	-1.863482
64	-1.863511
64	-1.863386
64	-1.8632
64	-1.86301
64	-1.862884
64	-1.862828
64	-1.862853
64	-1.862944
64	-1.863076
64	-1.863212
64	-1.863222
64	-1.863057
64	-1.862662
64	-1.861967
64	-1.861032
64	-1.859935
64	-1.858847
64	-1.857763
64	-1.856819
64	-1.856013
64	-1.85534
64	-1.854783
64	-1.85434
64	-1.853905
64	-1.853497
