t	Voltage
18	1.878859
18	1.879339
18	1.879792
18	1.88023
18	1.880628
18	1.881003
18	1.88135
18	1.881657
18	1.881912
18	1.882134
18	1.882289
18	1.882404
18	1.882458
18	1.882467
18	1.882422
18	1.882313
18	1.882178
18	1.881967
18	1.881722
18	1.881435
18	1.881103
18	1.880743
18	1.880368
18	1.879949
18	1.879525
18	1.879108
18	1.878672
18	1.878229
18	1.877807
18	1.877415
18	1.87704
18	1.8767
18	1.876387
18	1.876141
18	1.875917
18	1.875763
18	1.875646
18	1.875602
18	1.875609
18	1.875666
18	1.875799
18	1.875969
18	1.876203
18	1.876468
18	1.87679
18	1.877142
18	1.87753
18	1.877933
18	1.878365
18	1.878813
18	1.879264
18	1.87969
18	1.880125
18	1.880549
18	1.880936
18	1.881306
18	1.88164
18	1.881935
18	1.882188
18	1.882406
18	1.882551
18	1.882668
18	1.882719
18	1.88272
18	1.882671
18	1.882559
18	1.882412
18	1.882195
18	1.881947
18	1.881648
18	1.881313
18	1.88095
18	1.880563
18	1.880146
18	1.879714
18	1.879292
18	1.878851
18	1.878406
18	1.87798
18	1.877586
18	1.877208
18	1.876863
18	1.876551
18	1.876299
18	1.876073
18	1.875913
18	1.875795
18	1.875745
18	1.875746
18	1.875803
18	1.87593
18	1.876096
18	1.876327
18	1.876587
18	1.876909
18	1.877255
18	1.877641
18	1.878039
18	1.878473
18	1.878915
18	1.879362
18	1.879788
18	1.880221
18	1.880643
18	1.881027
18	1.881392
18	1.881726
18	1.882021
18	1.882268
18	1.882486
18	1.882627
18	1.882738
18	1.882785
18	1.882785
18	1.882733
18	1.882622
18	1.882471
18	1.882254
18	1.882008
18	1.881712
18	1.881372
18	1.881004
18	1.880622
18	1.8802
18	1.879766
18	1.879343
18	1.878902
18	1.878458
18	1.878026
18	1.877632
18	1.877253
18	1.876907
18	1.876595
18	1.876339
18	1.876113
18	1.875948
18	1.875836
18	1.875779
18	1.875783
18	1.875843
18	1.875962
18	1.876129
18	1.876359
18	1.876621
18	1.876936
18	1.877289
18	1.877672
18	1.878066
18	1.878502
18	1.878947
18	1.879395
18	1.879818
18	1.880252
18	1.880675
18	1.88106
18	1.881424
18	1.881756
18	1.882052
18	1.882302
18	1.882512
18	1.882658
18	1.882773
18	1.882823
18	1.882822
18	1.88277
18	1.882655
18	1.882508
18	1.882292
18	1.882043
18	1.881748
18	1.881411
18	1.881047
18	1.880666
18	1.880243
18	1.87981
18	1.879389
18	1.878943
18	1.878498
18	1.878072
18	1.877675
18	1.877299
18	1.876954
18	1.87664
18	1.876383
18	1.876161
18	1.875999
18	1.875876
18	1.875831
18	1.875834
18	1.87589
18	1.876014
18	1.87618
18	1.876412
18	1.876672
18	1.876993
18	1.877339
18	1.877723
18	1.878121
18	1.878552
18	1.879
18	1.879443
18	1.879867
18	1.880304
18	1.880725
18	1.881107
18	1.881472
18	1.881807
18	1.882102
18	1.882352
18	1.882566
18	1.88271
18	1.882822
18	1.882872
18	1.882871
18	1.882818
18	1.882705
18	1.882559
18	1.882344
18	1.882092
18	1.881797
18	1.881458
18	1.881094
18	1.880708
18	1.880288
18	1.879853
18	1.87943
18	1.878984
18	1.878544
18	1.878112
18	1.877719
18	1.877342
18	1.876994
18	1.876685
18	1.876428
18	1.876199
18	1.876037
18	1.875923
18	1.875872
18	1.875876
18	1.875934
18	1.876054
18	1.876224
18	1.876455
18	1.876717
18	1.877038
18	1.877385
18	1.87777
18	1.878168
18	1.878601
18	1.879051
18	1.879493
18	1.879918
18	1.880351
18	1.880768
18	1.881158
18	1.881524
18	1.881859
18	1.882156
18	1.882404
18	1.882619
18	1.882764
18	1.882875
18	1.882925
18	1.882922
18	1.882873
18	1.882759
18	1.882612
18	1.882396
18	1.882148
18	1.881854
18	1.881512
18	1.881149
18	1.880763
18	1.880345
18	1.87991
18	1.879485
18	1.879045
18	1.878599
18	1.878167
18	1.877775
18	1.877394
18	1.877045
18	1.876736
18	1.876475
18	1.876252
18	1.876091
18	1.875975
18	1.875927
18	1.875929
18	1.875987
18	1.876106
18	1.876277
18	1.876507
18	1.876766
18	1.877089
18	1.877434
18	1.877819
18	1.878216
18	1.878645
18	1.879091
18	1.879538
18	1.879963
18	1.880395
18	1.880817
18	1.881199
18	1.881567
18	1.881902
18	1.882193
18	1.882445
18	1.882655
18	1.882797
18	1.882911
18	1.882958
18	1.882954
18	1.882902
18	1.882787
18	1.882638
18	1.882418
18	1.882169
18	1.881873
18	1.881531
18	1.881168
18	1.880783
18	1.880362
18	1.879927
18	1.879503
18	1.879059
18	1.878614
18	1.878185
18	1.877789
18	1.877409
18	1.877067
18	1.876742
18	1.876493
18	1.876266
18	1.876102
18	1.875983
18	1.875928
18	1.875935
18	1.875988
18	1.876114
18	1.87628
18	1.876511
18	1.876773
18	1.877089
18	1.877435
18	1.877819
18	1.878219
18	1.87865
