"Current","Field","Frequency","Spectra"
4.298,64.47,1,-1.4358774721062013
4.298,64.47,1.003125,-1.3915065861285256
4.298,64.47,1.00625,-1.3576453112010345
4.298,64.47,1.0093750000000001,-1.3348418190545417
4.298,64.47,1.0125,-1.322320042276445
4.298,64.47,1.015625,-1.3243596195610394
4.298,64.47,1.01875,-1.3383276147864018
4.298,64.47,1.021875,-1.3598436309628297
4.298,64.47,1.0250000000000001,-1.3998012749042412
4.298,64.47,1.028125,-1.4498002343295178
4.298,64.47,1.03125,-1.5061441992408995
4.298,64.47,1.034375,-1.5709079505358636
4.298,64.47,1.0375,-1.64184525570218
4.298,64.47,1.0406250000000001,-1.712190576629962
4.298,64.47,1.04375,-1.7800140890639824
4.298,64.47,1.046875,-1.8475994598716416
4.298,64.47,1.05,-1.9120037697322272
4.298,64.47,1.053125,-1.9632711934719969
4.298,64.47,1.0562500000000001,-2.008562825640441
4.298,64.47,1.059375,-2.0490593278487292
4.298,64.47,1.0625,-2.075287134938292
4.298,64.47,1.065625,-2.088371051345436
4.298,64.47,1.06875,-2.09348832923019
4.298,64.47,1.0718750000000001,-2.0882389114328466
4.298,64.47,1.0750000000000002,-2.070348269689503
4.298,64.47,1.078125,-2.042018202975368
4.298,64.47,1.08125,-2.0063700967392784
4.298,64.47,1.084375,-1.9565481463153906
4.298,64.47,1.0875000000000001,-1.901652125913953
4.298,64.47,1.0906250000000002,-1.8444095642393743
4.298,64.47,1.09375,-1.7910254919059574
4.298,64.47,1.096875,-1.7264418609582362
4.298,64.47,1.1,-1.6742350564350497
4.298,64.47,1.1031250000000001,-1.629156421023067
4.298,64.47,1.1062500000000002,-1.5795757992705892
4.298,64.47,1.109375,-1.546533424443931
4.298,64.47,1.1125,-1.5281601672652636
4.298,64.47,1.115625,-1.5217532257158781
4.298,64.47,1.1187500000000001,-1.5299560049877226
4.298,64.47,1.1218750000000002,-1.5466706596881543
4.298,64.47,1.125,-1.5685194911079845
4.298,64.47,1.128125,-1.6045027994428342
4.298,64.47,1.13125,-1.640787499285377
4.298,64.47,1.1343750000000001,-1.682439644266482
4.298,64.47,1.1375000000000002,-1.7235775349961504
4.298,64.47,1.140625,-1.7614870289437903
4.298,64.47,1.14375,-1.788896410464853
4.298,64.47,1.146875,-1.810165348346719
4.298,64.47,1.1500000000000001,-1.8258391634422049
4.298,64.47,1.1531250000000002,-1.8283305893407273
4.298,64.47,1.15625,-1.8242899553871819
4.298,64.47,1.159375,-1.812982266077848
4.298,64.47,1.1625,-1.7907363135230916
4.298,64.47,1.1656250000000001,-1.7632136012451125
4.298,64.47,1.1687500000000002,-1.7307678038331575
4.298,64.47,1.171875,-1.6941253172553536
4.298,64.47,1.175,-1.6571286549433604
4.298,64.47,1.178125,-1.6156320844308982
4.298,64.47,1.1812500000000001,-1.5761056106047202
4.298,64.47,1.1843750000000002,-1.5377520909478393
4.298,64.47,1.1875,-1.5022399719452544
4.298,64.47,1.190625,-1.4719200878411962
4.298,64.47,1.19375,-1.4518676782187536
4.298,64.47,1.1968750000000001,-1.4374160089003394
4.298,64.47,1.2000000000000002,-1.435723742118031
4.298,64.47,1.203125,-1.4465029653936607
4.298,64.47,1.20625,-1.466036300609756
4.298,64.47,1.209375,-1.5025994387056314
4.298,64.47,1.2125000000000001,-1.5475153609418597
4.298,64.47,1.2156250000000002,-1.606734953094496
4.298,64.47,1.21875,-1.6672244538553793
4.298,64.47,1.221875,-1.739643712490204
4.298,64.47,1.225,-1.8157402135210772
4.298,64.47,1.2281250000000001,-1.8896363828079379
4.298,64.47,1.2312500000000002,-1.9616258447446613
4.298,64.47,1.234375,-2.0237748433440843
4.298,64.47,1.2375,-2.0774430712064147
4.298,64.47,1.240625,-2.1213546839355963
4.298,64.47,1.2437500000000001,-2.1615572493213904
4.298,64.47,1.2468750000000002,-2.18569630890376
4.298,64.47,1.25,-2.1946859212548966
4.298,64.47,1.253125,-2.191304542804893
4.298,64.47,1.25625,-2.165036276543173
4.298,64.47,1.2593750000000001,-2.126316748197751
4.298,64.47,1.2625000000000002,-2.0925021235475034
4.298,64.47,1.265625,-2.0486083045767205
4.298,64.47,1.26875,-1.9996596191576428
4.298,64.47,1.271875,-1.9414748645552236
4.298,64.47,1.2750000000000001,-1.87741073469633
