t	Voltage
285	14.35836
285	13.39958
285	12.75783
285	12.25119
285	11.81703
285	11.42191
285	11.03389
285	10.68388
285	10.37312
285	10.07385
285	9.802271
285	9.534986
285	9.299963
285	9.092852
285	8.882083
285	8.669753
285	8.457214
285	8.282656
285	8.182569
285	8.178234
285	8.290375
285	8.502179
285	8.802274
285	9.159682
285	9.543178
285	9.946771
285	10.30314
285	10.62404
285	10.90896
285	11.14783
285	11.35464
285	11.50729
285	11.62015
285	11.69589
285	11.74398
285	11.7713
285	11.80104
285	11.85299
285	11.94353
285	12.08311
285	12.2438
285	12.40977
285	12.55475
285	12.65527
285	12.70914
285	12.7082
285	12.66377
285	12.58735
285	12.48356
285	12.37616
285	12.26453
285	12.15844
285	12.0626
285	11.97392
285	11.88927
285	11.79615
285	11.67463
285	11.50687
285	11.31355
285	11.08846
285	10.84546
285	10.59919
285	10.34799
285	10.13611
285	9.951026
285	9.802833
285	9.695189
285	9.630462
285	9.615458
285	9.643249
285	9.707438
285	9.804243
285	9.937737
285	10.10504
285	10.30992
285	10.55805
285	10.85745
285	11.14921
285	11.44271
285	11.71791
285	11.96593
285	12.19081
285	12.37732
285	12.53047
285	12.66687
285	12.79987
285	12.91685
285	13.03206
285	13.1457
285	13.25592
285	13.36361
285	13.45381
285	13.51585
285	13.53379
285	13.49045
285	13.38466
285	13.21613
285	12.99687
285	12.73811
285	12.43711
285	12.14081
285	11.83074
285	11.51134
285	11.19095
285	10.85234
285	10.52519
285	10.20664
285	9.8909
285	9.555707
285	9.254636
285	8.958261
285	8.678844
285	8.417113
285	8.173057
285	7.982643
285	7.859653
285	7.815165
285	7.870317
285	8.02779
285	8.287018
285	8.627979
285	9.019843
285	9.451772
285	9.853598
285	10.22188
285	10.54192
285	10.82705
285	11.03037
285	11.17915
285	11.27634
285	11.33234
285	11.36006
285	11.3688
285	11.37621
285	11.40288
285	11.46922
285	11.57797
285	11.73556
285	11.92842
285	12.12884
285	12.32015
285	12.45429
285	12.54314
285	12.58961
285	12.60303
285	12.59821
285	12.58652
285	12.57808
285	12.57979
285	12.59459
285	12.61979
285	12.64782
285	12.66706
285	12.66254
285	12.61346
285	12.5138
285	12.35613
285	12.15096
285	11.91425
285	11.65693
285	11.40868
285	11.17225
285	10.95126
285	10.73619
285	10.55511
285	10.3895
285	10.23081
285	10.07809
285	9.921234
285	9.772731
285	9.634923
285	9.513622
285	9.420418
285	9.375396
285	9.398676
285	9.50485
285	9.692898
285	9.966767
285	10.27017
285	10.60185
285	10.94253
285	11.27363
285	11.60364
285	11.88319
285	12.13286
285	12.34746
285	12.52781
285	12.68355
285	12.79943
285	12.89452
285	12.97604
285	13.05298
285	13.14012
285	13.23469
285	13.33426
285	13.42204
285	13.4772
285	13.47196
285	13.40179
285	13.26638
285	13.07306
285	12.82183
285	12.55449
285	12.26284
285	11.95361
285	11.64071
285	11.31393
285	11.00043
285	10.69906
285	10.40091
285	10.08665
285	9.797995
285	9.508817
285	9.224463
285	8.948697
285	8.673074
285	8.440661
285	8.249632
285	8.111502
285	8.051344
285	8.083095
285	8.217933
285	8.456907
285	8.777828
285	9.159702
285	9.581415
285	9.994316
285	10.36824
285	10.7036
285	11.00482
285	11.23162
285	11.39888
285	11.51849
285	11.59012
285	11.6316
285	11.64811
285	11.66055
285	11.6863
285	11.74675
285	11.84629
285	11.99203
285	12.16975
285	12.3558
285	12.52495
285	12.64342
285	12.70776
285	12.7228
285	12.69882
285	12.65155
285	12.5933
285	12.53498
285	12.48621
285	12.44912
285	12.42732
285	12.41304
285	12.39394
285	12.35321
285	12.27957
285	12.15604
285	11.98312
285	11.76867
285	11.52404
285	11.27849
285	11.04072
285	10.81841
285	10.61103
285	10.44754
285	10.31456
285	10.20793
285	10.12428
285	10.05405
285	10.00158
285	9.960768
285	9.934908
285	9.932264
285	9.967942
285	10.05952
285	10.21707
285	10.44066
285	10.72806
285	11.02465
285	11.33051
285	11.62794
285	11.90584
285	12.1702
285	12.39806
285	12.60143
285	12.77941
285	12.94798
285	13.08377
285	13.20579
285	13.31586
285	13.41729
285	13.51907
285	13.60857
285	13.68591
285	13.73624
285	13.73749
285	13.67437
285	13.55122
285	13.36654
285	13.13146
285	12.85528
285	12.53444
285	12.2163
285	11.88125
285	11.5384
285	11.19425
285	10.82869
285	10.49748
285	10.16686
285	9.840834
285	9.520079
285	9.208268
285	8.88806
285	8.609292
285	8.347316
285	8.118598
285	7.935024
285	7.806467
285	7.773825
285	7.844697
285	8.026393
285	8.309709
285	8.694657
285	9.09245
285	9.504221
285	9.897025
285	10.25698
285	10.58555
285	10.8337
285	11.02384
285	11.15761
285	11.24028
285	11.28679
285	11.30163
285	11.30255
285	11.30678
285	11.33461
285	11.40377
285	11.52619
285	11.69611
285	11.90275
285	12.12877
285	12.32826
285	12.47933
285	12.58916
285	12.66628
285	12.71043
285	12.73936
285	12.76441
285	12.79358
285	12.83473
285	12.88261
285	12.93825
285	12.99315
285	13.03683
285	13.0545
285	13.02647
285	12.93994
285	12.79121
285	12.58695
285	12.34895
285	12.09674
285	11.83841
285	11.5844
285	11.32315
285	11.09343
285	10.86909
285	10.65119
285	10.43504
285	10.20838
285	9.996566
285	9.787172
285	9.580496
285	9.386705
285	9.201838
285	9.073112
285	8.994958
285	9.000778
285	9.095986
285	9.291164
285	9.551239
285	9.870279
285	10.22836
285	10.59717
285	10.98011
285	11.32342
285	11.63369
285	11.90171
285	12.13987
285	12.31289
285	12.4471
285	12.54489
285	12.61691
285	12.67613
285	12.73053
285	12.79896
285	12.89025
285	13.00362
285	13.12856
285	13.24005
285	13.31042
285	13.31977
285	13.26243
285	13.14134
285	12.96679
285	12.75732
285	12.52058
285	12.25701
285	12.01043
285	11.76306
285	11.51976
285	11.28384
285	11.04087
285	10.80173
285	10.56071
285	10.31054
285	10.03188
285	9.773438
285	9.517607
285	9.280357
285	9.067609
285	8.886984
285	8.777461
285	8.742668
285	8.794641
285	8.93807
285	9.172015
285	9.469808
285	9.821904
285	10.19775
285	10.60483
285	10.98298
285	11.32405
285	11.61982
285	11.88138
285	12.07493
285	12.21253
285	12.30691
285	12.37212
285	12.41335
285	12.45193
285	12.50202
285	12.57668
285	12.68443
285	12.81997
285	12.96038
285	13.08492
285	13.16906
285	13.18515
285	13.13494
285	13.02493
285	12.86998
285	12.68021
285	12.48074
285	12.27782
285	12.07937
285	11.87959
285	11.70496
285	11.53409
285	11.36116
285	11.17415
285	10.95671
285	10.7338
285	10.4931
285	10.24291
285	9.995256
285	9.747556
285	9.548205
285	9.391468
285	9.291609
285	9.261266
285	9.302718
285	9.423594
285	9.6131
285	9.862319
285	10.17529
285	10.49743
285	10.83998
285	11.18975
285	11.52369
285	11.85025
285	12.1112
285	12.32894
285	12.49858
285	12.62741
285	12.72746
285	12.80308
285	12.86813
285	12.93984
285	13.02491
285	13.12971
285	13.24513
285	13.35873
285	13.449
285	13.49732
285	13.47931
285	13.39118
285	13.23763
285	13.03078
285	12.78486
285	12.51783
285	12.24396
285	11.96554
285	11.67504
285	11.41178
285	11.15028
285	10.88621
285	10.62201
285	10.33835
285	10.05598
285	9.779444
285	9.506268
285	9.228385
285	8.980927
285	8.770962
285	8.610538
285	8.505975
285	8.494682
285	8.57835
285	8.759964
285	9.028992
285	9.387367
285	9.76315
285	10.15765
285	10.55234
285	10.92106
285	11.26478
285	11.54603
285	11.76289
285	11.92381
285	12.04342
285	12.11106
285	12.15043
285	12.17533
285	12.20342
285	12.25198
285	12.33261
285	12.45076
285	12.60133
285	12.76192
285	12.90608
285	13.00337
285	13.03987
285	13.01412
285	12.9333
285	12.82042
285	12.68397
285	12.53844
285	12.39668
285	12.25792
285	12.14108
285	12.03569
285	11.93312
285	11.8225
285	11.68664
285	11.52304
285	11.32461
285	11.10012
285	10.84848
285	10.60029
285	10.37109
285	10.16906
285	9.993063
285	9.879211
285	9.818006
285	9.814376
285	9.864528
285	9.964402
285	10.10678
285	10.28263
285	10.48971
285	10.74105
285	11.00239
285	11.28648
285	11.58528
285	11.87633
285	12.15742
285	12.39028
285	12.58906
285	12.75275
285	12.8997
285	13.01642
285	13.12678
285	13.23488
285	13.34484
285	13.45483
285	13.5611
285	13.65554
