t	Voltage
148	-1.874998
148	-1.870583
148	-1.866538
148	-1.862375
148	-1.858787
148	-1.855083
148	-1.851729
148	-1.848009
148	-1.845434
148	-1.842532
148	-1.840309
148	-1.838297
148	-1.836255
148	-1.834963
148	-1.832966
148	-1.830819
148	-1.829237
148	-1.828573
148	-1.830179
148	-1.8339
148	-1.839184
148	-1.845059
148	-1.850632
148	-1.855512
148	-1.859521
148	-1.862711
148	-1.865133
148	-1.866961
148	-1.86831
148	-1.869217
148	-1.869867
148	-1.870193
148	-1.87026
148	-1.870071
148	-1.869741
148	-1.869457
148	-1.869564
148	-1.870196
148	-1.871471
148	-1.873242
148	-1.875142
148	-1.876721
148	-1.877737
148	-1.878028
148	-1.877688
148	-1.876906
148	-1.875769
148	-1.87446
148	-1.873057
148	-1.871684
148	-1.870439
148	-1.86937
148	-1.86854
148	-1.867833
148	-1.867051
148	-1.865955
148	-1.864349
148	-1.862131
148	-1.859422
148	-1.856419
148	-1.853409
148	-1.850594
148	-1.848205
148	-1.8463
148	-1.845085
148	-1.844569
148	-1.844772
148	-1.845579
148	-1.846916
148	-1.848554
148	-1.85038
148	-1.852291
148	-1.854453
148	-1.856843
148	-1.859581
148	-1.862642
148	-1.865756
148	-1.868595
148	-1.871067
148	-1.873059
148	-1.874627
148	-1.875839
148	-1.876838
148	-1.877671
148	-1.87849
148	-1.879321
148	-1.880191
148	-1.881097
148	-1.881982
148	-1.882888
148	-1.883668
148	-1.884249
148	-1.884452
148	-1.884041
148	-1.882891
148	-1.881017
148	-1.878487
148	-1.875495
148	-1.872231
148	-1.868765
148	-1.865213
148	-1.861619
148	-1.858012
148	-1.854365
148	-1.85072
148	-1.847065
148	-1.843434
148	-1.83984
148	-1.836321
148	-1.832957
148	-1.829772
148	-1.826985
148	-1.824805
148	-1.823441
148	-1.823377
148	-1.824917
148	-1.828235
148	-1.83316
148	-1.838965
148	-1.845021
148	-1.850648
148	-1.855521
148	-1.85945
148	-1.862467
148	-1.864657
148	-1.866114
148	-1.866925
148	-1.867243
148	-1.867144
148	-1.866722
148	-1.86612
148	-1.86547
148	-1.864958
148	-1.864793
148	-1.865151
148	-1.866186
148	-1.867913
148	-1.870113
148	-1.872393
148	-1.874314
148	-1.875632
148	-1.876234
148	-1.876286
148	-1.875973
148	-1.8755
148	-1.875024
148	-1.874681
148	-1.874526
148	-1.874593
148	-1.874841
148	-1.875163
148	-1.875444
148	-1.875481
148	-1.87511
148	-1.874047
148	-1.872285
148	-1.869817
148	-1.866931
148	-1.863901
148	-1.860914
148	-1.858196
148	-1.855807
148	-1.853782
148	-1.852076
148	-1.850608
148	-1.849303
148	-1.848037
148	-1.846725
148	-1.84544
148	-1.844131
148	-1.843003
148	-1.842278
148	-1.842258
148	-1.84329
148	-1.845547
148	-1.848929
148	-1.852952
148	-1.857109
148	-1.861022
148	-1.864513
148	-1.867533
148	-1.870087
148	-1.872243
148	-1.874024
148	-1.875485
148	-1.876657
148	-1.877553
148	-1.878222
148	-1.878717
148	-1.879129
148	-1.879521
148	-1.880057
148	-1.880782
148	-1.881694
148	-1.882643
148	-1.88323
148	-1.883254
148	-1.882485
148	-1.880961
148	-1.878765
148	-1.876012
148	-1.872877
148	-1.869464
148	-1.865924
148	-1.862347
148	-1.858811
148	-1.855356
148	-1.851993
148	-1.848731
148	-1.845494
148	-1.842273
148	-1.839013
148	-1.835777
148	-1.832659
148	-1.829851
148	-1.827519
148	-1.82593
148	-1.825461
148	-1.826503
148	-1.829244
148	-1.833618
148	-1.839079
148	-1.844973
148	-1.850544
148	-1.855453
148	-1.859526
148	-1.862759
148	-1.865192
148	-1.866924
148	-1.868024
148	-1.868597
148	-1.868736
148	-1.868506
148	-1.868068
148	-1.867532
148	-1.86705
148	-1.866828
148	-1.867088
148	-1.86798
148	-1.869507
148	-1.871478
148	-1.873573
148	-1.875393
148	-1.876534
148	-1.876953
148	-1.876758
148	-1.876086
148	-1.875202
148	-1.874236
148	-1.873402
148	-1.872702
148	-1.872274
148	-1.872085
148	-1.872017
148	-1.871971
148	-1.871742
148	-1.871096
148	-1.86982
148	-1.867865
148	-1.865266
148	-1.862327
148	-1.859329
148	-1.856461
148	-1.85394
148	-1.85189
148	-1.850414
148	-1.849434
148	-1.848861
148	-1.848647
148	-1.848572
148	-1.848603
148	-1.848604
148	-1.848679
148	-1.848937
148	-1.849606
148	-1.850979
148	-1.853188
148	-1.85624
148	-1.859728
148	-1.863204
148	-1.866411
148	-1.869193
148	-1.87153
148	-1.873492
148	-1.87516
148	-1.876593
148	-1.877845
148	-1.87897
148	-1.87996
148	-1.880836
148	-1.881633
148	-1.882364
148	-1.883077
148	-1.883794
148	-1.884497
148	-1.88499
148	-1.885072
148	-1.884504
148	-1.883145
148	-1.88108
148	-1.878429
148	-1.875322
148	-1.871858
148	-1.868188
148	-1.864315
148	-1.860436
148	-1.856487
148	-1.852589
148	-1.848731
148	-1.844948
148	-1.841263
148	-1.837616
148	-1.834093
148	-1.830722
148	-1.827588
148	-1.824874
148	-1.82277
148	-1.821626
148	-1.821831
148	-1.823731
148	-1.827525
148	-1.832939
148	-1.839178
148	-1.845485
148	-1.851091
148	-1.855786
148	-1.859468
148	-1.862216
148	-1.864116
148	-1.865321
148	-1.865943
148	-1.86605
148	-1.865812
148	-1.865257
148	-1.864527
148	-1.863815
148	-1.863291
148	-1.863169
148	-1.863632
148	-1.864841
148	-1.866779
148	-1.86914
148	-1.871566
148	-1.873604
148	-1.875047
148	-1.875818
148	-1.876136
148	-1.876151
148	-1.876035
148	-1.875945
148	-1.876002
148	-1.87623
148	-1.876606
148	-1.87713
148	-1.877683
148	-1.878156
148	-1.878379
148	-1.878155
148	-1.877267
148	-1.8756
148	-1.873264
148	-1.87044
148	-1.867392
148	-1.864334
148	-1.861414
148	-1.858746
148	-1.856285
148	-1.853987
148	-1.851851
148	-1.849755
148	-1.847625
148	-1.84547
148	-1.84328
148	-1.841121
148	-1.83913
148	-1.837494
148	-1.836464
148	-1.836464
148	-1.837729
148	-1.840446
148	-1.844304
148	-1.848876
148	-1.853491
148	-1.8579
148	-1.861797
148	-1.86518
148	-1.868002
148	-1.870303
148	-1.872119
148	-1.873506
148	-1.87447
148	-1.875085
148	-1.875418
148	-1.875553
148	-1.875615
148	-1.875709
148	-1.876047
148	-1.87671
148	-1.877745
148	-1.879031
148	-1.880258
148	-1.881059
148	-1.881174
148	-1.880458
148	-1.878997
148	-1.876906
148	-1.874408
148	-1.871616
