Field	X	Y
0	0.0	1.56463e-07
-5	-2.20724e-07	1.21073e-08
-10	-2.76605e-07	-2.60771e-08
-15	-2.75673e-07	-6.51929e-09
-20	-2.92437e-07	8.84761e-08
-25	-2.8033e-07	1.0524e-07
-30	-2.83124e-07	1.67639e-08
-35	-3.48316e-07	1.06171e-07
-40	-4.55419e-07	2.32832e-08
-45	-5.19682e-07	1.02446e-08
-50	-6.08157e-07	-3.53905e-08
-55	-1.15484e-07	-5.40169e-08
-60	5.70904e-07	-2.79398e-09
-65	5.83012e-07	1.11759e-08
-70	4.46105e-07	1.39699e-08
-75	2.59841e-07	4.37724e-08
-80	4.09784e-08	-2.79398e-09
-85	-1.95579e-07	1.86266e-09
-90	-2.44008e-07	7.73002e-08
-95	-2.29106e-07	1.30386e-08
-100	-1.71364e-07	3.72531e-08
-105	-1.74158e-07	-3.35278e-08
-110	-1.31317e-07	3.35278e-08
-115	-1.24798e-07	1.09897e-07
-120	-1.24798e-07	3.16652e-08
-125	-2.18862e-07	6.89183e-08
-130	-2.46802e-07	9.31327e-08
-135	-2.48665e-07	8.38196e-09
-140	-1.93716e-07	2.04892e-08
