Field	X	Y
0	-5.1223e-08	1.63914e-07
-5	-3.42729e-07	-1.49013e-08
-10	-3.72531e-07	8.10255e-08
-15	-3.77187e-07	1.20142e-07
-20	-4.12578e-07	3.53905e-08
-25	-4.53556e-07	2.79398e-09
-30	-4.90811e-07	0.0
-35	-3.96745e-07	4.65664e-08
-40	-4.95467e-07	9.9652e-08
-45	-6.08157e-07	-2.23519e-08
-50	-5.94187e-07	-5.49483e-08
-55	-8.75448e-08	-9.31328e-09
-60	4.09784e-07	-1.30386e-08
-65	1.0524e-07	-2.79398e-09
-70	-1.49013e-08	4.37724e-08
-75	-2.79398e-09	1.14553e-07
-80	7.26436e-08	1.08965e-07
-85	1.27592e-07	7.45063e-08
-90	1.26661e-07	1.39699e-08
-95	-3.07339e-08	2.51458e-08
-100	-1.15484e-07	-9.22014e-08
-105	-1.72296e-07	4.00471e-08
-110	-4.47037e-08	6.98496e-08
-115	-1.32249e-07	1.11759e-08
-120	-1.45287e-07	4.19097e-08
-125	-1.6112e-07	-5.1223e-08
-130	-1.85334e-07	-2.32832e-08
-135	-1.63914e-07	2.51458e-08
-140	-1.3318e-07	-3.07339e-08
