t	Voltage
241	7.027006
241	7.590494
241	8.032716
241	8.424772
241	8.778464
241	9.107128
241	9.381683
241	9.622261
241	9.827363
241	9.996145
241	10.12702
241	10.21876
241	10.26677
241	10.27496
241	10.24741
241	10.17666
241	10.06913
241	9.926525
241	9.748658
241	9.535498
241	9.303035
241	9.043912
241	8.759971
241	8.459335
241	8.135441
241	7.816285
241	7.487003
241	7.154433
241	6.826594
241	6.507606
241	6.201099
241	5.913413
241	5.64683
241	5.408292
241	5.198599
241	5.023377
241	4.886735
241	4.792376
241	4.741567
241	4.736777
241	4.778285
241	4.86764
241	5.004355
241	5.184756
241	5.414803
241	5.673057
241	5.966498
241	6.286465
241	6.62887
241	6.996126
241	7.354175
241	7.713841
241	8.068416
241	8.409782
241	8.739907
241	9.041093
241	9.312044
241	9.55171
241	9.765072
241	9.93187
241	10.06408
241	10.15496
241	10.20749
241	10.22039
241	10.18926
241	10.12036
241	10.01276
241	9.868973
241	9.691142
241	9.481855
241	9.245387
241	8.984026
241	8.693606
241	8.397089
241	8.083432
241	7.761849
241	7.432908
241	7.097404
241	6.767324
241	6.450649
241	6.145916
241	5.849693
241	5.587492
241	5.350742
241	5.14294
241	4.96944
241	4.828518
241	4.734947
241	4.684877
241	4.681014
241	4.72415
241	4.813467
241	4.950527
241	5.131331
241	5.354886
241	5.619686
241	5.916077
241	6.235734
241	6.578267
241	6.94527
241	7.303407
241	7.662542
241	8.017673
241	8.359299
241	8.69456
241	8.989415
241	9.261036
241	9.502394
241	9.708449
241	9.877539
241	10.01203
241	10.1048
241	10.15453
241	10.16798
241	10.13772
241	10.07226
241	9.965723
241	9.825317
241	9.650225
241	9.436956
241	9.204422
241	8.944059
241	8.660658
241	8.362194
241	8.042134
241	7.719021
241	7.391303
241	7.062207
241	6.72685
241	6.413584
241	6.109798
241	5.823159
241	5.55757
241	5.315446
241	5.107759
241	4.93646
241	4.800786
241	4.702239
241	4.651661
241	4.647922
241	4.691284
241	4.781148
241	4.91895
241	5.099678
241	5.323599
241	5.5845
241	5.888996
241	6.206464
241	6.546828
241	6.900846
241	7.264127
241	7.636693
241	7.987348
241	8.326595
241	8.651565
241	8.951617
241	9.226317
241	9.466677
241	9.674842
241	9.846736
241	9.984097
241	10.07626
241	10.12787
241	10.1409
241	10.11305
241	10.04406
241	9.939257
241	9.7974
241	9.618479
241	9.410422
241	9.1696
241	8.914951
241	8.635535
241	8.337898
241	8.024889
241	7.698432
241	7.369191
241	7.04158
241	6.714805
241	6.397446
241	6.089723
241	5.802915
241	5.537102
241	5.299601
241	5.082742
241	4.912779
241	4.778193
241	4.684558
241	4.634686
241	4.628006
241	4.670275
241	4.760428
241	4.897898
241	5.084163
241	5.306157
241	5.566269
241	5.859687
241	6.180711
241	6.522156
241	6.879196
241	7.243313
241	7.604896
241	7.960691
241	8.313812
241	8.632351
241	8.931964
241	9.203753
241	9.446322
241	9.65961
241	9.828507
241	9.959589
241	10.05451
241	10.10996
241	10.1215
241	10.09597
241	10.02882
241	9.922544
241	9.781769
241	9.606396
241	9.399917
241	9.164384
241	8.897854
241	8.62005
241	8.323121
241	8.009863
241	7.689478
241	7.356552
241	7.026875
241	6.702637
241	6.385841
241	6.070303
241	5.788852
241	5.524592
241	5.286904
241	5.078632
241	4.900506
241	4.765364
241	4.672426
241	4.622824
241	4.616032
241	4.65893
241	4.749169
241	4.886904
241	5.073532
241	5.295928
241	5.556799
241	5.850696
241	6.171895
241	6.521613
241	6.878371
241	7.239756
241	7.600487
241	7.967545
241	8.302468
241	8.624824
241	8.925672
241	9.197981
241	9.442377
241	9.650873
241	9.822152
241	9.952829
241	10.04741
241	10.09786
241	10.11048
241	10.08265
241	10.01624
241	9.91066
241	9.769676
241	9.595364
241	9.390043
241	9.156352
241	8.89542
241	8.611688
241	8.313272
241	7.997191
241	7.665115
241	7.342067
241	7.015739
241	6.689905
241	6.372994
241	6.059181
241	5.777249
241	5.513125
241	5.276369
241	5.068146
241	4.890261
241	4.755475
241	4.662543
241	4.611932
241	4.605437
241	4.648608
241	4.739554
241	4.877319
241	5.063613
241	5.286098
241	5.547087
241	5.840883
241	6.16205
241	6.509862
241	6.865264
241	7.228143
241	7.590846
241	7.958453
241	8.294831
241	8.617357
241	8.917298
241	9.191009
241	9.440426
241	9.645442
241	9.814933
241	9.947367
241	10.03918
241	10.09334
241	10.10639
241	10.07801
241	10.01182
241	9.906646
241	9.761907
241	9.589235
241	9.381592
241	9.147959
241	8.887077
241	8.596965
241	8.303412
241	7.991285
241	7.669873
241	7.34081
241	7.007964
241	6.681866
241	6.365964
241	6.062026
241	5.776347
241	5.509703
241	5.267601
241	5.060045
241	4.887076
241	4.746189
241	4.654071
241	4.604701
241	4.60054
241	4.643548
241	4.73265
241	4.869801
241	5.0505
241	5.274554
241	5.543545
241	5.834304
241	6.155485
241	6.497643
241	6.853415
241	7.228171
241	7.584184
241	7.938042
241	8.278686
241	8.602939
241	8.907972
241	9.182163
241	9.421171
241	9.628592
241	9.799634
241	9.936085
241	10.03022
241	10.08001
241	10.09207
241	10.06662
241	9.998721
241	9.895207
241	9.755975
241	9.579664
241	9.371403
241	9.136684
241	8.877792
241	8.596893
241	8.290576
241	7.980217
241	7.659183
241	7.331238
241	6.993108
241	6.673022
241	6.35741
241	6.052779
241	5.766139
241	5.495005
241	5.25851
241	5.050902
241	4.878194
241	4.736491
241	4.645067
241	4.595803
241	4.592972
241	4.636785
241	4.728806
241	4.86419
241	5.045303
241	5.269787
241	5.531323
241	5.830036
241	6.150568
241	6.492996
241	6.848582
241	7.224462
241	7.581637
241	7.934503
241	8.273551
241	8.597511
241	8.907641
241	9.1745
241	9.415358
241	9.621381
241	9.793384
241	9.930861
241	10.02223
241	10.07327
241	10.08679
241	10.06077
241	9.992284
241	9.889545
241	9.750663
241	9.574982
241	9.36949
241	9.127281
241	8.870905
241	8.589058
241	8.28931
241	7.976497
241	7.646563
241	7.323854
241	6.996923
241	6.67151
241	6.354379
241	6.040868
241	5.758392
241	5.493601
241	5.256409
241	5.04812
241	4.870759
241	4.733698
241	4.640923
241	4.59103
241	4.585699
241	4.629033
241	4.719794
241	4.857234
241	5.038363
241	5.265314
241	5.526269
241	5.820328
241	6.143416
241	6.497511
241	6.847892
241	7.209933
241	7.570966
241	7.9259
241	8.272709
241	8.595906
241	8.895966
241	9.16803
241	9.417143
241	9.621272
241	9.789628
241	9.924004
241	10.01496
241	10.06873
241	10.0825
241	10.05619
241	9.990102
241	9.885748
241	9.744278
241	9.569073
241	9.364818
241	9.129613
241	8.862819
241	8.586218
241	8.289259
241	7.97716
241	7.655574
241	7.323384
241	6.994922
241	6.670642
241	6.353889
241	6.03957
241	5.756515
241	5.490992
241	5.253911
241	5.045916
241	4.867565
241	4.732496
241	4.638969
241	4.589199
241	4.583685
241	4.627231
241	4.717337
241	4.854802
241	5.036294
241	5.263145
241	5.523944
241	5.818
241	6.139422
241	6.493959
241	6.84483
241	7.207253
