t	Voltage
210	1.895004
210	1.898448
210	1.901755
210	1.904855
210	1.90775
210	1.910413
210	1.912789
210	1.91486
210	1.916635
210	1.91806
210	1.919144
210	1.919861
210	1.920216
210	1.920197
210	1.919801
210	1.919042
210	1.917919
210	1.916459
210	1.914657
210	1.912545
210	1.910145
210	1.907463
210	1.904543
210	1.901433
210	1.898122
210	1.894683
210	1.891157
210	1.887582
210	1.884007
210	1.880505
210	1.877101
210	1.873898
210	1.870945
210	1.868338
210	1.866147
210	1.864407
210	1.863233
210	1.862638
210	1.862663
210	1.863296
210	1.864513
210	1.866294
210	1.868522
210	1.871165
210	1.87415
210	1.877381
210	1.880806
210	1.884324
210	1.887912
210	1.891492
210	1.895021
210	1.898458
210	1.901758
210	1.90486
210	1.907758
210	1.910422
210	1.912802
210	1.91488
210	1.916648
210	1.918074
210	1.919158
210	1.91988
210	1.920235
210	1.920219
210	1.919826
210	1.919068
210	1.917952
210	1.916489
210	1.91469
210	1.912584
210	1.910182
210	1.907499
210	1.904582
210	1.901472
210	1.89816
210	1.894725
210	1.891198
210	1.887624
210	1.884043
210	1.880545
210	1.877144
210	1.87394
210	1.870984
210	1.868376
210	1.866188
210	1.864448
210	1.863271
210	1.862678
210	1.862701
210	1.863335
210	1.864552
210	1.866328
210	1.868556
210	1.871198
210	1.874181
210	1.877414
210	1.880838
210	1.884353
210	1.887939
210	1.891523
210	1.895053
210	1.898488
210	1.901788
210	1.904882
210	1.907787
210	1.910451
210	1.912827
210	1.914904
210	1.916669
210	1.918096
210	1.919184
210	1.919899
210	1.920257
210	1.920239
210	1.919841
210	1.919086
210	1.917966
210	1.916505
210	1.914703
210	1.912598
210	1.910193
210	1.907511
210	1.904588
210	1.901479
210	1.89817
210	1.89473
210	1.891198
210	1.887629
210	1.884049
210	1.88055
210	1.877146
210	1.873942
210	1.870983
210	1.868374
210	1.866184
210	1.864447
210	1.863272
210	1.862679
210	1.862699
210	1.863331
210	1.86455
210	1.866328
210	1.868556
210	1.871196
210	1.874181
210	1.877414
210	1.880836
210	1.884357
210	1.887947
210	1.891525
210	1.895055
210	1.89849
210	1.90179
210	1.904892
210	1.907793
210	1.910448
210	1.912833
210	1.914909
210	1.91668
210	1.918107
210	1.919191
210	1.91991
210	1.920265
210	1.920243
210	1.919851
210	1.919096
210	1.917974
210	1.916512
210	1.91471
210	1.912607
210	1.910204
210	1.907521
210	1.904602
210	1.901494
210	1.898177
210	1.894745
210	1.891211
210	1.887643
210	1.884068
210	1.880566
210	1.877162
210	1.873953
210	1.871
210	1.868399
210	1.866202
210	1.864469
210	1.863295
210	1.862699
210	1.86272
210	1.863358
210	1.864574
210	1.866353
210	1.868582
210	1.871223
210	1.874211
210	1.877441
210	1.880866
210	1.884383
210	1.887972
210	1.891548
210	1.895082
210	1.898514
210	1.901817
210	1.904915
210	1.907813
210	1.910473
210	1.912854
210	1.91493
210	1.916695
210	1.918123
210	1.919201
210	1.919921
210	1.92028
210	1.920259
210	1.919863
210	1.919106
210	1.917987
210	1.916522
210	1.91472
210	1.912615
210	1.91021
210	1.907524
210	1.904612
210	1.901498
210	1.898188
210	1.894751
210	1.891218
210	1.887646
210	1.884071
210	1.88057
210	1.877165
210	1.873964
210	1.871007
210	1.868396
210	1.866206
210	1.864468
210	1.863291
210	1.862701
210	1.862722
210	1.863353
210	1.864573
210	1.866349
210	1.868572
210	1.871218
210	1.874202
210	1.877434
210	1.880857
210	1.884374
210	1.887959
210	1.891538
210	1.895074
210	1.898506
210	1.901809
210	1.904907
210	1.907809
210	1.91047
210	1.912848
210	1.914925
210	1.916693
210	1.91812
210	1.919208
210	1.919923
210	1.920284
210	1.920263
210	1.919867
210	1.919114
210	1.917993
210	1.916531
210	1.91473
210	1.912627
210	1.910224
210	1.907541
210	1.904625
210	1.901509
210	1.898203
210	1.894763
210	1.891238
210	1.887667
210	1.884091
210	1.880591
210	1.877192
210	1.873984
210	1.871028
210	1.868421
210	1.86623
210	1.864496
210	1.863319
210	1.862724
210	1.862748
210	1.86338
210	1.864601
210	1.866373
210	1.868602
210	1.871242
210	1.874229
210	1.877451
210	1.880878
210	1.884398
210	1.887983
210	1.891564
210	1.895096
210	1.89853
210	1.901829
210	1.90493
210	1.907827
210	1.910488
210	1.912866
210	1.914943
210	1.916708
210	1.918138
210	1.919221
210	1.919937
210	1.920292
210	1.920272
210	1.919876
210	1.91912
210	1.917996
210	1.916536
210	1.914728
210	1.912628
210	1.910223
210	1.907538
210	1.904619
210	1.901507
210	1.898193
210	1.894759
210	1.89123
210	1.887654
210	1.884078
210	1.880579
210	1.877175
210	1.873969
210	1.871013
210	1.8684
210	1.866213
210	1.864473
210	1.8633
210	1.862704
210	1.862729
210	1.863363
210	1.864586
210	1.866355
210	1.868581
210	1.871223
210	1.874206
210	1.877438
210	1.880859
210	1.884378
210	1.887962
210	1.891543
210	1.895073
210	1.898511
210	1.901809
210	1.904904
210	1.907808
210	1.910464
